id,t,d,wc_exp,bc_exp,edu,lnwage
61,4,3,0,0,13,
61,5,2,0,1,13,9.7907887
61,6,2,0,2,13,10.136186
61,7,3,0,2,14,
61,8,2,0,3,14,9.7888842
61,9,2,0,4,14,9.9701176
61,10,2,0,5,14,10.257519
61,11,2,0,6,14,10.701571
62,1,3,0,0,10,
62,2,3,0,0,11,
62,3,3,0,0,12,
62,4,2,0,1,12,8.1307659
62,5,2,0,2,12,9.8968258
62,6,3,0,2,13,
62,7,2,0,3,13,10.253968
62,8,3,0,3,14,
62,9,2,0,4,14,10.29971
62,10,2,0,5,14,10.206507
62,11,3,0,5,15,
63,1,3,0,0,11,
63,2,3,0,0,12,
63,3,3,0,0,13,
63,4,3,0,0,14,
63,5,3,0,0,15,
63,6,2,0,1,15,8.5772533
63,7,2,0,2,15,10.29971
63,8,1,1,2,15,10.950947
63,9,1,2,2,15,11.17381
63,10,1,3,2,15,11.206127
63,11,1,4,2,15,11.226975
64,1,3,0,0,11,
64,2,3,0,0,12,
64,3,3,0,0,13,
64,4,3,0,0,14,
64,5,3,0,0,15,
64,6,2,0,1,15,9.8778009
64,7,2,0,2,15,10.359329
64,8,3,0,2,16,
64,9,2,0,3,16,10.522854
64,10,2,0,4,16,10.663265
64,11,2,0,5,16,11.579275
65,1,3,0,0,10,
65,2,3,0,0,11,
65,3,3,0,0,12,
65,4,3,0,0,13,
65,5,1,1,0,13,9.7515593
65,6,3,1,0,14,
65,7,2,1,1,14,7.4119186
65,8,2,1,2,14,
65,9,2,1,3,14,
65,10,2,1,4,14,10.543365
65,11,3,1,4,15,
66,1,3,0,0,11,
66,2,2,0,1,11,
66,3,3,0,1,12,
66,4,3,0,1,13,
66,5,3,0,1,14,
66,6,3,0,1,15,
66,7,2,0,2,15,8.9134159
66,8,2,0,3,15,9.3415089
66,9,2,0,4,15,8.6480808
66,10,2,0,5,15,8.845273
66,11,2,0,6,15,9.1655521
67,1,3,0,0,10,
67,2,2,0,1,10,7.1559424
67,3,2,0,2,10,9.0950413
67,4,2,0,3,10,11.02014
67,5,2,0,4,10,11.186134
67,6,2,0,5,10,11.198174
67,7,2,0,6,10,11.651509
67,8,2,0,7,10,11.602648
67,9,2,0,8,10,11.712387
67,10,2,0,9,10,12.024394
67,11,2,0,10,10,11.909847
68,1,3,0,0,9,
68,2,3,0,0,10,
68,3,2,0,1,10,
68,4,2,0,2,10,9.8968258
68,5,2,0,3,10,9.0023317
68,6,2,0,4,10,9.3095064
68,7,2,0,5,10,8.9339275
68,8,2,0,6,10,10.29971
68,9,2,0,7,10,10.817415
68,10,2,0,8,10,10.950666
68,11,2,0,9,10,10.873422
69,1,3,0,0,10,
69,2,2,0,1,10,9.4638777
69,3,2,0,2,10,9.7402039
69,4,2,0,3,10,11.198174
69,5,2,0,4,10,10.388626
69,6,2,0,5,10,10.541651
69,7,2,0,6,10,10.543365
69,8,2,0,7,10,10.562075
69,9,1,1,7,10,10.594272
69,10,2,1,8,10,
69,11,2,1,9,10,10.637033
70,1,3,0,0,9,
70,2,3,0,0,10,
70,3,2,0,1,10,9.9338808
70,4,2,0,2,10,
70,5,2,0,3,10,
70,6,2,0,4,10,10.61177
70,7,2,0,5,10,10.764794
70,8,2,0,6,10,11.131152
70,9,2,0,7,10,10.769713
70,10,2,0,8,10,11.269401
70,11,2,0,9,10,11.17381
71,1,3,0,0,10,
71,2,3,0,0,11,
71,3,3,0,0,12,
71,4,2,0,1,12,10.907355
71,5,2,0,2,12,11.02014
71,6,2,0,3,12,10.838816
71,7,2,0,4,12,11.198174
71,8,2,0,5,12,11.154094
71,9,2,0,6,12,11.255417
71,10,2,0,7,12,11.131152
71,11,2,0,8,12,11.216001
72,1,3,0,0,11,
72,2,3,0,0,12,
72,3,3,0,0,13,
72,4,3,0,0,14,
72,5,3,0,0,15,
72,6,1,1,0,15,10.407651
72,7,1,2,0,15,10.65099
72,8,1,3,0,15,11.602648
72,9,3,3,0,16,
72,10,3,3,0,17,
72,11,3,3,0,18,
73,1,3,0,0,10,
73,2,3,0,0,11,
73,3,3,0,0,12,
73,4,3,0,0,13,
73,5,3,0,0,14,
73,6,3,0,0,15,
73,7,2,0,1,15,
